**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
109.0, elevID,1,  pos,-2,  cmd, goto,-2
110.0,Elevator call,109.21352909346587,-1,0,1,0, got allocated to elevator, 0
110.0, elevID,0,  pos,-2,  cmd, goto,-2
110.0, elevID,1,  pos,-2,  cmd, goto,-2
111.0, elevID,0,  pos,-2,  cmd, goto,-2
111.0, elevID,1,  pos,-2,  cmd, goto,-2
112.0, elevID,0,  pos,-2,  cmd, goto,-2
112.0, elevID,1,  pos,-2,  cmd, goto,-2
113.0, elevID,0,  pos,-2,  cmd, goto,-2
113.0, elevID,1,  pos,-2,  cmd, goto,-2
114.0, elevID,0,  pos,-2,  cmd, goto,-2
114.0, elevID,1,  pos,-2,  cmd, goto,-2
115.0,Elevator call,114.39235096774041,3,0,1,0, got allocated to elevator, 0
115.0, elevID,0,  pos,-2,  cmd, goto,-2
115.0, elevID,1,  pos,-2,  cmd, goto,-2
116.0, elevID,0,  pos,-2,  cmd, goto,-2
116.0, elevID,1,  pos,-2,  cmd, goto,-2
117.0, elevID,0,  pos,-2,  cmd, goto,-2
117.0, elevID,1,  pos,-2,  cmd, goto,-2
118.0, elevID,0,  pos,-2,  cmd, goto,-2
118.0, elevID,1,  pos,-2,  cmd, goto,-2
119.0, elevID,0,  pos,-2,  cmd, goto,-2
119.0, elevID,1,  pos,-2,  cmd, goto,-2
120.0, elevID,0,  pos,-2,  cmd, goto,-2
120.0, elevID,1,  pos,-2,  cmd, goto,-2
121.0, elevID,0,  pos,-2,  cmd, goto,-2
121.0, elevID,1,  pos,-2,  cmd, goto,-2
122.0, elevID,0,  pos,-2,  cmd, goto,-2
122.0, elevID,1,  pos,-2,  cmd, goto,-2
123.0, elevID,0,  pos,-2,  cmd, goto,-2
123.0, elevID,1,  pos,-2,  cmd, goto,-2
124.0, elevID,0,  pos,-2,  cmd, goto,-2
124.0, elevID,1,  pos,-2,  cmd, goto,-2
125.0,Elevator call,124.42557095980362,0,9,1,1, got allocated to elevator, 1
125.0, elevID,0,  pos,-2,  cmd, goto,-2
125.0, elevID,1,  pos,-2,  cmd, goto,-2
126.0, elevID,0,  pos,-2,  cmd, goto,-2
126.0, elevID,1,  pos,-2,  cmd, goto,-2
127.0, elevID,0,  pos,-2,  cmd, goto,-2
